,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change,Change_Pct,Change_Cat
343,2022-01-14,16270079,105.2913912,273.7019937,694.2919482,185.7186,79.971,27.403,699.616,778412.662,707236.129,14784401.73,-308054.9448,14301439.28,2527842.182,6317321.618,193241,43467.05,41785.44,42575.61,27290.3,1165100830,43089.83,-1.09,-0.002529599212,-1
344,2022-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43811.94,42589.82,43089.83,14075.12,607715303.4,43088.74,11.62,0.02696760221,1
345,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43484.21,42617.07,43088.74,12615.04,543620929.3,43100.36,-875.98,-2.032419219,-1
346,2022-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43198.05,41571.67,43100.36,20310.91,861459661.8,42224.38,148.37,0.351384674,1
347,2022-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42682.77,41301.01,42224.38,26287.26,1099916846,42372.75,-697.95,-1.647167106,-1
348,2022-01-19,912896,12.04896284,40.70836992,91.02782577,17.2404,7.489,2.708,95.802,38458.258,19451.194,854978.809,82807.0897,815641.2926,71355.94138,555742.6401,19405,42575.28,41144.83,42372.75,32436.62,1359832054,41674.8,-977.77,-2.346190024,-1
349,2022-01-20,4474141,83.79082564,212.4957987,519.4781802,121.7999,55.209,22.946,530.848,497458.656,131846.681,3844850.106,1247005.807,3875090.204,811140.7751,1814525.663,75041,43513.14,40564.32,41674.8,35135.79,1482814890,40697.03,-4227.73,-10.38830106,-1
350,2022-01-21,5346574,115.686725,350.1930781,800.5533749,125.4025,86.895,54.881,810.242,556021.959,250952.776,4539423.029,879427.6748,4514917.184,306687.0237,1839209.004,-336268,41116.66,35494.42,40697.03,94195.63,3610621841,36469.3,-1393.38,-3.820693021,-1
351,2022-01-22,19696620,238.4896846,662.8008707,1643.696687,307.3019,176.95,93.057,1669.989,1813456.756,435845.894,17447174.97,3732868.169,17328461.78,1448740.885,4435825.007,475259,36811.86,34130.35,36469.3,68447.95,2419705021,35075.92,1212.23,3.45601769,1
352,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36539.19,34648.38,35075.92,39599.36,1405386711,36288.15,414.64,1.142631961,1
353,2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37469.19,32990.72,36288.15,94597.7,3289034581,36702.79,273.2,0.7443575815,1
354,2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37555.35,35732.05,36702.79,44562.17,1632275611,36975.99,-146.62,-0.3965275845,-1
355,2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38930.36,36275.92,36975.99,57460,2163384357,36829.37,360.48,0.978784052,1
